supergroup,subgroup,Pxx,Pxy,Pxz,Pyx,Pyy,Pyz,Pzx,Pzy,Pzz,px,py,pz
5,3,1,0,0,0,1,0,0,0,1,0,0,0
5,4,1,0,0,0,1,0,0,0,1,1/4,0,0
8,6,1,0,0,0,1,0,0,0,1,0,0,0
8,7,-1,0,1,0,1,0,-1,0,0,0,1/4,0
9,7,1,0,-1,0,1,0,0,0,1,0,1/4,0
12,10,1,0,0,0,1,0,0,0,1,0,0,0
12,11,0,0,-1,0,1,0,1,0,0,1/4,1/4,0
12,13,0,0,-1,0,1,0,1,0,0,1/4,1/4,0
12,14,0,0,-1,0,1,0,1,0,0,0,0,0
15,13,0,0,-1,0,1,0,1,0,-1,1/4,1/4,0
15,14,1,0,0,0,1,0,0,0,1,1/4,1/4,0
20,17,1,0,0,0,1,0,0,0,1,0,0,0
20,18,0,0,1,1,0,0,0,1,0,1/4,0,0
20,19,1,0,0,0,1,0,0,0,1,1/4,0,0
21,16,1,0,0,0,1,0,0,0,1,0,0,0
21,17,0,1,0,0,0,1,1,0,0,1/4,1/4,0
21,18,1,0,0,0,1,0,0,0,1,0,0,0
22,20,1,0,0,0,1,0,0,0,1,1/4,0,0
22,21,1,0,0,0,1,0,0,0,1,1/4,1/4,1/4
23,16,1,0,0,0,1,0,0,0,1,0,0,0
23,18,0,0,1,1,0,0,0,1,0,1/4,0,0
24,17,0,0,1,1,0,0,0,1,0,1/4,1/4,0
24,19,1,0,0,0,1,0,0,0,1,0,0,0
35,25,1,0,0,0,1,0,0,0,1,0,0,0
35,28,1,0,0,0,1,0,0,0,1,1/4,1/4,0
35,32,1,0,0,0,1,0,0,0,1,0,0,0
36,26,1,0,0,0,1,0,0,0,1,0,0,0
36,29,0,1,0,-1,0,0,0,0,1,1/4,1/4,0
36,31,1,0,0,0,1,0,0,0,1,0,1/4,0
36,33,0,1,0,-1,0,0,0,0,1,0,0,0
37,27,1,0,0,0,1,0,0,0,1,0,0,0
37,30,0,1,0,-1,0,0,0,0,1,1/4,1/4,0
37,34,1,0,0,0,1,0,0,0,1,0,0,0
38,25,1,0,0,0,1,0,0,0,1,0,0,0
38,26,1,0,0,0,1,0,0,0,1,0,1/4,0
38,30,1,0,0,0,1,0,0,0,1,0,0,0
38,31,0,1,0,-1,0,0,0,0,1,0,0,0
39,26,0,1,0,-1,0,0,0,0,1,0,1/4,0
39,27,1,0,0,0,1,0,0,0,1,0,0,0
39,28,0,1,0,-1,0,0,0,0,1,0,0,0
39,29,0,1,0,-1,0,0,0,0,1,0,1/4,0
40,28,1,0,0,0,1,0,0,0,1,0,0,0
40,31,1,0,0,0,1,0,0,0,1,1/4,1/4,0
40,33,1,0,0,0,1,0,0,0,1,0,1/4,0
40,34,1,0,0,0,1,0,0,0,1,0,0,0
41,29,1,0,0,0,1,0,0,0,1,0,1/4,0
41,30,0,1,0,-1,0,0,0,0,1,0,0,0
41,32,1,0,0,0,1,0,0,0,1,0,0,0
41,33,0,1,0,-1,0,0,0,0,1,0,1/4,0
42,35,1,0,0,0,1,0,0,0,1,0,0,0
42,36,1,0,0,0,1,0,0,0,1,0,1/4,0
42,37,1,0,0,0,1,0,0,0,1,1/4,1/4,0
42,38,0,1,0,-1,0,0,0,0,1,0,0,0
42,39,1,0,0,0,1,0,0,0,1,1/4,1/4,0
42,40,0,1,0,-1,0,0,0,0,1,1/4,1/4,0
42,41,0,1,0,-1,0,0,0,0,1,0,0,0
44,25,1,0,0,0,1,0,0,0,1,0,0,0
44,31,1,0,0,0,1,0,0,0,1,0,1/4,0
44,34,1,0,0,0,1,0,0,0,1,0,0,0
45,27,1,0,0,0,1,0,0,0,1,0,0,0
45,29,0,1,0,-1,0,0,0,0,1,1/4,1/4,0
45,32,1,0,0,0,1,0,0,0,1,0,0,0
46,26,1,0,0,0,1,0,0,0,1,1/4,1/4,0
46,28,1,0,0,0,1,0,0,0,1,0,0,0
46,30,1,0,0,0,1,0,0,0,1,0,0,0
46,33,1,0,0,0,1,0,0,0,1,1/4,1/4,0
63,51,0,1,0,0,0,1,1,0,0,0,0,0
63,52,0,0,1,1,0,0,0,1,0,1/4,1/4,0
63,57,1,0,0,0,1,0,0,0,1,1/4,1/4,0
63,58,0,0,1,1,0,0,0,1,0,0,0,0
63,59,0,1,0,0,0,1,1,0,0,1/4,1/4,0
63,60,1,0,0,0,1,0,0,0,1,0,0,0
63,62,0,1,0,0,0,1,1,0,0,1/4,1/4,0
64,53,1,0,0,0,1,0,0,0,1,0,0,0
64,54,0,1,0,0,0,1,1,0,0,1/4,1/4,0
64,55,0,0,1,1,0,0,0,1,0,0,0,0
64,56,0,1,0,0,0,1,1,0,0,0,0,0
64,57,0,0,1,1,0,0,0,1,0,1/4,1/4,0
64,60,0,1,0,0,0,1,1,0,0,1/4,1/4,0
64,61,1,0,0,0,1,0,0,0,1,0,0,0
64,62,0,1,0,-1,0,0,0,0,1,1/4,1/4,0
65,47,1,0,0,0,1,0,0,0,1,0,0,0
65,50,1,0,0,0,1,0,0,0,1,1/4,1/4,0
65,51,0,0,1,1,0,0,0,1,0,1/4,1/4,0
65,53,1,0,0,0,0,1,0,-1,0,0,0,0
65,55,1,0,0,0,1,0,0,0,1,0,0,0
65,59,1,0,0,0,1,0,0,0,1,1/4,1/4,0
66,48,1,0,0,0,1,0,0,0,1,1/4,1/4,0
66,49,1,0,0,0,1,0,0,0,1,0,0,0
66,52,0,0,-1,0,1,0,1,0,0,0,0,0
66,53,0,1,0,0,0,1,1,0,0,1/4,1/4,0
66,56,1,0,0,0,1,0,0,0,1,1/4,1/4,0
66,58,1,0,0,0,1,0,0,0,1,0,0,0
67,49,0,1,0,0,0,1,1,0,0,1/4,1/4,0
67,51,1,0,0,0,1,0,0,0,1,1/4,1/4,0
67,54,1,0,0,0,0,1,0,-1,0,0,0,0
67,57,0,0,-1,0,1,0,1,0,0,1/4,1/4,0
68,50,0,1,0,0,0,1,1,0,0,1/4,1/4,0
68,52,1,0,0,0,1,0,0,0,1,0,0,0
68,54,0,1,0,-1,0,0,0,0,1,1/4,1/4,0
68,60,0,0,1,1,0,0,0,1,0,1/4,1/4,0
69,63,0,1,0,-1,0,0,0,0,1,1/4,0,1/4
69,64,1,0,0,0,1,0,0,0,1,0,0,0
69,65,1,0,0,0,1,0,0,0,1,0,0,0
69,66,0,0,1,1,0,0,0,1,0,0,1/4,1/4
69,67,0,0,1,1,0,0,0,1,0,1/4,0,1/4
69,68,1,0,0,0,1,0,0,0,1,0,1/4,1/4
71,47,1,0,0,0,1,0,0,0,1,0,0,0
71,48,1,0,0,0,1,0,0,0,1,1/4,1/4,1/4
71,58,0,0,1,1,0,0,0,1,0,0,0,0
71,59,0,0,1,1,0,0,0,1,0,1/4,1/4,1/4
72,49,1,0,0,0,1,0,0,0,1,0,0,0
72,50,1,0,0,0,1,0,0,0,1,1/4,1/4,1/4
72,55,1,0,0,0,1,0,0,0,1,0,0,0
72,56,1,0,0,0,1,0,0,0,1,1/4,1/4,1/4
72,57,0,1,0,-1,0,0,0,0,1,1/4,1/4,1/4
72,60,1,0,0,0,1,0,0,0,1,0,0,0
73,54,1,0,0,0,1,0,0,0,1,1/4,1/4,1/4
73,61,0,1,0,-1,0,0,0,0,1,1/4,1/4,1/4
74,51,0,1,0,-1,0,0,0,0,1,0,0,0
74,52,0,1,0,-1,0,0,0,0,1,0,0,0
74,53,1,0,0,0,1,0,0,0,1,0,0,0
74,62,0,1,0,-1,0,0,0,0,1,1/4,1/4,1/4
79,75,1,0,0,0,1,0,0,0,1,0,0,0
79,77,1,0,0,0,1,0,0,0,1,1/2,0,0
80,76,1,0,0,0,1,0,0,0,1,3/4,1/4,0
80,78,1,0,0,0,1,0,0,0,1,3/4,3/4,0
82,81,1,0,0,0,1,0,0,0,1,1/2,0,1/4
87,83,1,0,0,0,1,0,0,0,1,0,0,0
87,84,1,0,0,0,1,0,0,0,1,0,1/2,0
87,85,1,0,0,0,1,0,0,0,1,1/4,1/4,1/4
87,86,1,0,0,0,1,0,0,0,1,1/4,1/4,1/4
97,89,1,0,0,0,1,0,0,0,1,0,0,0
97,90,1,0,0,0,1,0,0,0,1,0,1/2,1/4
97,93,1,0,0,0,1,0,0,0,1,0,1/2,0
97,94,1,0,0,0,1,0,0,0,1,0,0,0
98,91,1,0,0,0,1,0,0,0,1,3/4,1/4,3/8
98,92,1,0,0,0,1,0,0,0,1,1/4,1/4,0
98,95,1,0,0,0,1,0,0,0,1,1/4,1/4,3/8
98,96,1,0,0,0,1,0,0,0,1,1/4,3/4,1/4
107,99,1,0,0,0,1,0,0,0,1,0,0,0
107,102,1,0,0,0,1,0,0,0,1,0,0,0
107,104,1,0,0,0,1,0,0,0,1,0,0,0
107,105,1,0,0,0,1,0,0,0,1,0,1/2,0
108,100,1,0,0,0,1,0,0,0,1,0,0,0
108,101,1,0,0,0,1,0,0,0,1,0,1/2,0
108,103,1,0,0,0,1,0,0,0,1,0,0,0
108,106,1,0,0,0,1,0,0,0,1,0,1/2,0
119,115,1,0,0,0,1,0,0,0,1,0,1/2,1/4
119,118,1,0,0,0,1,0,0,0,1,0,1/2,1/4
120,116,1,0,0,0,1,0,0,0,1,0,1/2,1/4
120,117,1,0,0,0,1,0,0,0,1,0,1/2,1/4
121,111,1,0,0,0,1,0,0,0,1,0,0,0
121,112,1,0,0,0,1,0,0,0,1,0,1/2,1/4
121,113,1,0,0,0,1,0,0,0,1,0,1/2,1/4
121,114,1,0,0,0,1,0,0,0,1,0,0,0
139,123,1,0,0,0,1,0,0,0,1,0,0,0
139,126,1,0,0,0,1,0,0,0,1,1/4,1/4,1/4
139,128,1,0,0,0,1,0,0,0,1,0,0,0
139,129,1,0,0,0,1,0,0,0,1,1/4,1/4,1/4
139,131,1,0,0,0,1,0,0,0,1,0,1/2,0
139,134,1,0,0,0,1,0,0,0,1,1/4,3/4,1/4
139,136,1,0,0,0,1,0,0,0,1,0,0,0
139,137,1,0,0,0,1,0,0,0,1,1/4,3/4,1/4
140,124,1,0,0,0,1,0,0,0,1,0,0,0
140,125,1,0,0,0,1,0,0,0,1,1/4,1/4,1/4
140,127,1,0,0,0,1,0,0,0,1,0,0,0
