supergroup,subgroup,Pxx,Pxy,Pxz,Pyx,Pyy,Pyz,Pzx,Pzy,Pzz,px,py,pz
2,1,1,0,0,0,1,0,0,0,1,0,0,0
3,1,1,0,0,0,1,0,0,0,1,0,0,0
4,1,1,0,0,0,1,0,0,0,1,0,0,0
5,1,1/2,1/2,0,-1/2,1/2,0,0,0,1,0,0,0
6,1,1,0,0,0,1,0,0,0,1,0,0,0
7,1,1,0,0,0,1,0,0,0,1,0,0,0
8,1,1/2,1/2,0,-1/2,1/2,0,0,0,1,0,0,0
9,1,1/2,1/2,0,-1/2,1/2,0,0,0,1,0,0,0
10,2,1,0,0,0,1,0,0,0,1,0,0,0
10,3,1,0,0,0,1,0,0,0,1,0,0,0
10,6,1,0,0,0,1,0,0,0,1,0,0,0
11,2,1,0,0,0,1,0,0,0,1,0,0,0
11,4,1,0,0,0,1,0,0,0,1,0,0,0
11,6,1,0,0,0,1,0,0,0,1,0,1/4,0
12,2,1/2,1/2,0,-1/2,1/2,0,0,0,1,0,0,0
12,5,1,0,0,0,1,0,0,0,1,0,0,0
12,8,1,0,0,0,1,0,0,0,1,0,0,0
13,2,1,0,0,0,1,0,0,0,1,0,0,0
13,3,1,0,0,0,1,0,0,0,1,0,0,1/4
13,7,1,0,0,0,1,0,0,0,1,0,0,0
14,2,1,0,0,0,1,0,0,0,1,0,0,0
14,4,1,0,0,0,1,0,0,0,1,0,0,1/4
14,7,1,0,0,0,1,0,0,0,1,0,1/4,0
15,2,1/2,1/2,0,-1/2,1/2,0,0,0,1,0,0,0
15,5,1,0,0,0,1,0,0,0,1,0,0,1/4
15,9,1,0,0,0,1,0,0,0,1,0,0,0
16,3,0,1,0,0,0,1,1,0,0,0,0,0
17,3,0,1,0,0,0,1,1,0,0,0,0,0
17,4,0,0,1,1,0,0,0,1,0,0,0,0
18,3,0,0,1,1,0,0,0,1,0,0,0,0
18,4,0,1,0,0,0,1,1,0,0,0,1/4,0
19,4,0,1,0,0,0,1,1,0,0,0,1/4,0
20,4,1/2,0,1/2,1/2,0,-1/2,0,1,0,0,0,0
20,5,0,1,0,-1,0,0,0,0,1,0,0,0
21,3,1/2,0,1/2,1/2,0,-1/2,0,1,0,0,0,0
21,5,0,1,0,-1,0,0,0,0,1,0,0,0
22,5,0,1,0,0,0,1/2,1,0,-1/2,0,0,0
23,5,0,1,0,-1,0,0,-1,0,1,0,0,0
24,5,0,1,0,-1,0,0,-1,0,1,0,0,1/4
25,3,0,0,1,1,0,0,0,1,0,0,0,0
25,6,0,1,0,0,0,1,1,0,0,0,0,0
26,4,0,0,1,1,0,0,0,1,0,0,0,0
26,6,0,1,0,0,0,1,1,0,0,0,0,0
26,7,1,0,0,0,1,0,0,0,1,0,0,0
27,3,0,0,1,1,0,0,0,1,0,0,0,0
27,7,0,1,0,-1,0,0,0,0,1,0,0,0
28,3,0,0,1,1,0,0,0,1,0,0,0,0
28,6,0,1,0,0,0,1,1,0,0,1/4,0,0
28,7,-1,0,1,0,1,0,-1,0,0,0,0,0
29,4,0,0,1,1,0,0,0,1,0,0,0,0
29,7,0,1,0,-1,0,0,0,0,1,1/4,0,0
30,3,0,0,1,1,0,0,0,1,0,0,0,0
30,7,0,1,0,1,0,-1,0,0,-1,0,0,0
31,4,0,0,1,1,0,0,0,1,0,1/4,0,0
31,6,0,1,0,0,0,1,1,0,0,0,0,0
31,7,0,0,-1,0,1,0,1,0,-1,0,0,0
32,3,0,0,1,1,0,0,0,1,0,0,0,0
32,7,0,1,0,0,0,1,1,0,0,1/4,0,0
33,4,0,0,1,1,0,0,0,1,0,0,0,0
33,7,0,1,0,1,0,-1,0,0,-1,1/4,0,0
